Metadata_Plate,negcon,poscon,trt
A1170417,32,32,320
A1170418,32,32,320
A1170419,32,32,320
A1170420,32,32,320
A1170421,32,32,55
A1170423,32,32,320
A1170424,32,32,320
A1170425,32,32,318
A1170427,32,32,316
A1170428,32,32,314
A1170429,32,32,306
A1170430,32,32,67
A1170431,32,32,306
A1170432,32,32,304
A1170433,384,0,0
A1170437,32,32,318
A1170438,32,32,320
A1170439,32,32,320
A1170440,32,32,319
A1170441,32,32,315
A1170442,32,32,317
A1170443,32,32,319
A1170444,32,32,317
A1170445,32,32,315
A1170446,32,32,316
A1170447,32,32,316
A1170448,32,32,319
A1170449,32,32,318
A1170450,32,32,315
A1170451,32,32,313
A1170452,32,32,319
A1170453,32,32,311
A1170454,32,32,312
A1170455,32,32,314
A1170456,32,32,309
A1170457,32,32,316
A1170458,32,32,309
A1170459,32,32,316
A1170460,32,32,303
A1170461,32,32,306
A1170462,32,32,310
A1170463,32,32,313
A1170464,32,32,315
A1170465,32,32,313
A1170466,32,32,318
A1170467,32,32,312
A1170468,32,32,316
A1170469,32,32,316
A1170470,32,32,318
A1170471,32,32,319
A1170472,32,32,318
A1170473,32,32,317
A1170474,32,32,317
A1170475,32,32,313
A1170476,32,32,314
A1170477,32,32,315
A1170478,32,32,319
A1170479,32,32,319
A1170480,32,32,320
A1170481,32,32,318
A1170482,32,32,317
A1170483,32,32,318
A1170484,32,32,319
A1170485,32,32,315
A1170486,32,32,318
A1170487,32,32,319
A1170488,32,32,318
A1170490,64,11,309
A1170491,384,0,0
A1170493,32,32,316
A1170494,32,32,319
A1170495,32,32,317
A1170496,32,32,317
A1170497,32,32,320
A1170498,32,32,320
A1170499,32,32,319
A1170500,32,32,317
A1170501,32,32,316
A1170502,32,32,317
A1170503,32,32,320
A1170504,32,32,320
A1170505,32,32,317
A1170506,32,32,315
A1170507,32,32,319
A1170508,32,32,320
A1170509,32,32,319
A1170510,32,32,159
A1170511,32,32,79
A1170513,32,32,296
A1170514,32,32,281
A1170515,32,32,292
A1170516,32,32,298
A1170517,32,32,302
A1170518,32,32,297
A1170519,32,32,302
A1170520,32,32,296
A1170521,32,32,302
A1170522,32,32,279
A1170523,32,32,298
A1170524,32,32,306
A1170525,32,32,304
A1170526,32,32,304
A1170527,32,32,310
A1170528,32,32,296
A1170529,32,32,212
A1170530,32,32,253
A1170531,32,32,244
A1170532,32,33,211
A1170533,32,32,238
A1170534,32,32,236
A1170535,32,33,249
A1170536,32,32,203
A1170537,32,32,223
A1170538,32,32,224
A1170539,32,32,217
A1170540,32,32,206
A1170541,32,32,261
A1170542,32,32,252
A1170543,32,32,198
A1170544,32,32,200
ACPJUM012,64,11,309
ACPJUM032,64,11,307
ACPJUM051,64,11,309
ACPJUM052,64,11,309
ACPJUM061,64,11,309
ACPJUM062,64,11,309
ACPJUM071,64,11,309
ACPJUM072,64,11,309
ACPJUM081,64,11,309
ACPJUM082,64,11,309
ACPJUM091,64,11,309
ACPJUM102,64,11,309
ACPJUM111,64,11,309
ACPJUM112,64,11,309
ACPJUM121,64,11,309
ACPJUM141,64,11,309
ACPJUM142,64,11,309
ACPJUM151,64,11,309
ACPJUM161,64,11,309
ACPJUM162,64,11,309
ACPJUM181,64,11,309
ACPJUM182,64,11,309
ACPJUM191,64,11,309
ACPJUM192,64,11,309
AEOJUM201,32,32,320
AEOJUM202,32,32,320
AEOJUM203,32,32,320
AEOJUM204,32,32,320
AEOJUM205,32,32,320
AEOJUM301,32,32,320
AEOJUM303,32,32,320
AEOJUM304,32,32,320
AEOJUM305,32,32,320
AEOJUM306,32,32,320
AEOJUM307,32,32,80
AEOJUM401,32,32,320
AEOJUM402,32,32,320
AEOJUM403,32,32,320
AEOJUM404,32,32,320
AEOJUM405,32,32,320
AEOJUM406,32,32,320
AEOJUM407,32,32,80
AEOJUM501,32,32,320
AEOJUM502,32,32,320
AEOJUM504,32,32,320
AEOJUM505,32,32,320
AEOJUM604,32,32,320
AEOJUM605,32,32,320
AEOJUM701,32,32,320
AEOJUM702,32,32,320
AEOJUM703,32,32,320
AEOJUM706,32,32,320
AEOJUM707,32,32,80
AEOJUM803,32,32,320
AEOJUM806,32,32,320
AEOJUM807,32,32,80
AEOJUM902,32,32,320
AEOJUM906,32,32,320
AEOJUM907,32,32,80
AETJUM101,32,32,320
AETJUM102,32,32,320
AETJUM103,32,32,320
AETJUM104,32,32,320
AETJUM105,32,32,320
AETJUM106,32,32,320
AETJUM107,32,32,320
AETJUM108,32,32,320
AETJUM109,32,32,320
AETJUM110,32,32,320
AETJUM111,32,32,320
AETJUM112,32,32,320
AETJUM113,32,32,320
AETJUM114,32,32,320
AETJUM115,32,32,320
AETJUM116,32,32,320
AETJUM117,32,32,320
AETJUM118,32,32,320
AETJUM119,32,32,320
AETJUM120,32,32,320
AETJUM121,32,32,320
AETJUM122,32,32,320
AETJUM123,32,32,320
AETJUM125,32,32,320
AETJUM224,32,32,320
AETJUM226,32,32,320
AETJUM228,32,32,320
AETJUM229,32,32,320
AETJUM230,32,32,320
AETJUM231,32,32,320
AETJUM332,32,32,80
AETJUM427,32,32,320
APTJUM105,32,32,320
APTJUM106,32,32,320
APTJUM107,32,32,320
APTJUM108,32,32,320
APTJUM109,32,32,320
