,Metadata_Plate,negcon,poscon,trt
733,AEOJUM807,32,32,80
734,AEOJUM902,32,32,320
735,AEOJUM906,32,32,320
736,AEOJUM907,32,32,80
737,AETJUM101,32,32,320
738,AETJUM102,32,32,320
739,AETJUM103,32,32,320
740,AETJUM104,32,32,320
741,AETJUM105,32,32,320
742,AETJUM106,32,32,320
743,AETJUM107,32,32,320
744,AETJUM108,32,32,320
745,AETJUM109,32,32,320
746,AETJUM110,32,32,320
747,AETJUM111,32,32,320
748,AETJUM112,32,32,320
749,AETJUM113,32,32,320
750,AETJUM114,32,32,320
751,AETJUM115,32,32,320
752,AETJUM116,32,32,320
753,AETJUM117,32,32,320
754,AETJUM118,32,32,320
755,AETJUM119,32,32,320
756,AETJUM120,32,32,320
757,AETJUM121,32,32,320
758,AETJUM122,32,32,320
759,AETJUM123,32,32,320
760,AETJUM125,32,32,320
761,AETJUM224,32,32,320
762,AETJUM226,32,32,320
763,AETJUM228,32,32,320
764,AETJUM229,32,32,320
765,AETJUM230,32,32,320
766,AETJUM231,32,32,320
767,AETJUM332,32,32,80
768,AETJUM427,32,32,320
769,APTJUM105,32,32,320
770,APTJUM106,32,32,320
771,APTJUM107,32,32,320
772,APTJUM108,32,32,320
773,APTJUM109,32,32,320
774,APTJUM110,32,32,320
775,APTJUM112,32,32,320
776,APTJUM114,32,32,320
777,APTJUM115,32,32,320
778,APTJUM116,32,32,320
779,APTJUM117,32,32,320
780,APTJUM118,32,32,320
781,APTJUM120,32,32,320
782,APTJUM121,32,32,320
783,APTJUM122,32,32,320
784,APTJUM123,32,32,320
785,APTJUM124,32,32,320
786,APTJUM125,32,32,320
787,APTJUM126,32,32,320
788,APTJUM128,32,32,320
789,APTJUM129,32,32,320
790,APTJUM131,32,32,320
791,APTJUM132,32,32,320
792,APTJUM133,32,32,49
793,APTJUM208,32,32,320
794,APTJUM210,32,32,320
795,APTJUM212,32,32,320
796,APTJUM213,32,32,320
797,APTJUM214,32,32,320
798,APTJUM216,32,32,320
799,APTJUM217,32,32,320
800,APTJUM218,32,32,320
801,APTJUM219,32,32,320
802,APTJUM220,32,32,320
803,APTJUM221,32,32,320
804,APTJUM228,32,32,320
805,APTJUM229,32,32,320
806,APTJUM230,32,32,319
807,APTJUM231,32,32,320
808,APTJUM232,32,32,320
809,APTJUM233,32,32,49
810,APTJUM301,32,32,320
811,APTJUM302,32,32,320
812,APTJUM303,32,32,320
813,APTJUM304,32,32,320
814,APTJUM324,32,32,320
815,APTJUM325,32,32,320
816,APTJUM326,32,32,320
817,APTJUM327,32,32,320
818,APTJUM409,32,32,320
819,APTJUM415,32,32,320
820,APTJUM419,32,32,320
821,APTJUM422,32,32,320
822,APTJUM430,32,32,320
823,APTJUM501,32,32,320
824,APTJUM511,32,32,320
825,APTJUM513,32,32,320
826,APTJUM523,32,32,320
827,APTJUM527,32,32,320
828,APTJUM611,32,32,320
829,ATSJUM103,32,32,320
830,ATSJUM104,32,32,320
831,ATSJUM106,32,32,320
832,ATSJUM107,32,32,319
833,ATSJUM108,32,32,320
834,ATSJUM109,32,32,320
835,ATSJUM110,32,32,320
836,ATSJUM111,32,32,320
837,ATSJUM112,32,32,320
838,ATSJUM113,32,32,320
839,ATSJUM114,32,32,320
840,ATSJUM115,32,32,320
841,ATSJUM116,32,32,320
842,ATSJUM117,32,32,320
843,ATSJUM118,32,32,320
844,ATSJUM119,32,32,320
845,ATSJUM120,32,32,320
846,ATSJUM121,32,32,320
847,ATSJUM122,32,32,320
848,ATSJUM123,32,32,320
849,ATSJUM124,32,32,320
850,ATSJUM125,32,32,320
851,ATSJUM126,32,32,320
852,ATSJUM127,32,32,320
853,ATSJUM128,32,32,320
854,ATSJUM129,32,32,320
855,ATSJUM130,32,32,320
856,ATSJUM131,32,32,320
857,ATSJUM132,32,32,80
858,ATSJUM201,32,32,320
859,ATSJUM202,32,32,320
860,ATSJUM203,32,32,320
861,ATSJUM204,32,32,320
862,ATSJUM205,32,32,320
863,ATSJUM206,32,32,320
864,ATSJUM207,32,32,320
865,ATSJUM208,32,32,320
866,ATSJUM209,32,32,320
867,ATSJUM210,32,32,320
868,ATSJUM211,32,32,320
869,ATSJUM212,32,32,320
870,ATSJUM213,32,32,320
871,ATSJUM214,32,32,320
872,ATSJUM215,32,32,320
873,ATSJUM216,32,32,320
874,ATSJUM217,32,32,320
875,ATSJUM220,32,32,320
876,ATSJUM221,32,32,320
877,ATSJUM222,32,32,320
878,ATSJUM223,32,32,320
879,ATSJUM224,32,32,320
880,ATSJUM225,32,32,320
881,ATSJUM226,32,32,320
882,ATSJUM227,32,32,320
883,ATSJUM228,32,32,320
884,ATSJUM229,32,32,320
885,ATSJUM230,32,32,320
886,ATSJUM231,32,32,320
887,ATSJUM232,32,32,80
888,ATSJUM401,32,32,320
889,ATSJUM405,32,32,320
890,ATSJUM418,32,32,320
891,ATSJUM419,32,32,320
892,ATSJUM502,32,32,320
893,ATTJUM202,32,32,320
894,ATTJUM203,32,32,320
895,ATTJUM204,32,32,320
896,ATTJUM205,32,32,320
897,ATTJUM206,32,32,320
898,ATTJUM207,32,32,320
899,B040103a,32,32,320
900,B040103b,32,32,319
901,B040103c,32,32,320
902,B040103d,32,32,320
903,B040203a,32,32,320
904,B040203b,32,32,320
905,B040203c,32,32,320
906,B040203d,32,30,320
907,B040303a,32,32,320
908,B040303b,32,32,320
909,B040303c,32,32,320
910,B040303d,32,32,320
911,B040603a,32,32,320
912,B040603b,32,32,320
913,B040603c,32,32,319
914,B040603d,32,32,320
915,B040903a,32,32,320
916,B040903b,32,32,320
917,B040903c,32,32,320
918,B040903d,32,32,192
919,BR00117035,16,8,341
920,BR00117036,16,8,341
921,BR00117037,16,12,337
922,BR00117038,16,12,337
923,BR00117039,16,12,337
924,BR00117040,16,12,337
925,BR00117041,16,12,337
926,BR00121423,64,11,309
927,BR00121425,64,11,309
928,BR00121426,64,11,308
929,BR00121427,64,11,308
930,BR00121428,64,11,308
931,BR00121436,64,11,308
932,BR00121437,64,11,309
933,BR00121543,16,12,343
934,BR00121544,16,12,343
935,BR00121545,16,12,343
936,BR00121546,16,12,343
937,BR00121547,16,12,341
938,BR00121548,16,12,341
939,BR00121549,16,12,341
940,BR00121550,16,12,341
941,BR00121551,16,12,341
942,BR00121552,12,10,256
943,BR00121553,12,10,256
944,BR00121554,12,10,256
945,BR00121555,12,10,256
946,BR00121556,12,10,256
947,BR00121559,16,8,341
948,BR00121560,16,8,341
949,BR00121562,16,8,341
950,BR00123506,16,12,341
951,BR00123507,16,12,341
952,BR00123509,16,12,342
953,BR00123510,16,12,342
954,BR00123511,16,12,342
955,BR00123512,16,12,343
956,BR00123513,16,12,343
957,BR00123514,16,12,343
958,BR00123515,16,12,343
959,BR00123516,16,12,343
960,BR00123517,16,12,335
961,BR00123518,16,12,335
962,BR00123519,16,12,335
963,BR00123520,16,12,335
964,BR00123521,16,12,335
965,BR00123525,16,12,343
966,BR00123526,16,12,343
967,BR00123527,16,12,343
968,BR00123528B,16,12,343
969,BR00123529,16,12,343
970,BR00123530,16,12,343
971,BR00123532,16,12,341
972,BR00123533,16,12,340
973,BR00123534,16,12,343
974,BR00123535,16,12,343
975,BR00123536,16,12,343
976,BR00123537,16,12,343
977,BR00123614,16,12,342
978,BR00123615,16,12,341
979,BR00123616,16,12,342
980,BR00123617,16,12,342
981,BR00123618,16,12,342
982,BR00123619,16,12,329
983,BR00123620,16,12,329
984,BR00123621,16,12,343
985,BR00123622,16,12,343
986,BR00123623,16,12,341
987,BR00123624,16,12,329
988,BR00123625,16,12,329
989,BR00123626,16,12,329
990,BR00123627,16,12,343
991,BR00123628,16,12,343
992,BR00123629,16,12,343
993,BR00123788,16,12,342
994,BR00123789,16,12,342
995,BR00124781,20,12,339
996,BR00124782,20,12,339
997,BR00124787,16,12,344
998,BR00124788,16,12,344
999,BR00124790,16,12,339
1000,BR00124791,16,12,339
1001,BR00124794,16,16,336
1002,BR00125619,16,12,343
1003,BR00125620,16,12,344
1004,BR00125621,16,12,344
1005,BR00125622,16,12,337
1006,BR00125623,16,12,337
1007,BR00125624,16,12,337
1008,BR00125625,16,12,337
1009,BR00125626,16,12,337
1010,BR00125627,16,12,343
1011,BR00125628,16,12,343
1012,BR00125629,16,12,343
1013,BR00125630,16,12,343
1014,BR00125631,16,12,343
1015,BR00125633,16,12,343
1016,BR00125634,16,12,343
